name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
huggingface/text-embeddings-inference,,https://github.com/huggingface/text-embeddings-inference,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,A blazing fast inference solution for text embeddings models,,,,,,,,,,,,Operations,Model Serving,,,,,,,,,,,,,,,,,,,,,,,,
huggingface/text-generation-inference,,https://github.com/huggingface/text-generation-inference,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,Large Language Model Text Generation Inference,,,,,,,,,,,,Operations,Model Serving,,,,,,,,,,,,,,,,,,,,,,,,
invoke-ai/InvokeAI,,https://github.com/invoke-ai/InvokeAI,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,"Invoke is a leading creative engine for Stable Diffusion models, empowering professionals, artists, and enthusiasts to generate and create visual media using the latest AI-driven technologies. The solution offers an industry leading WebUI, and serves as the foundation for multiple commercial products.",,,,,,,,,,,,Application Engineering,UserInterface,,,,,,,,,,,,,,,,,,,,,,,,
irgolic/AutoPR,,https://github.com/irgolic/AutoPR,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,Run AI-powered workflows over your codebase,,,,,,,,,,,,Application Engineering,Agentic Framework,,,,,,,,,,,,,,,,,,,,,,,,
janhq/jan,,https://github.com/janhq/jan,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,"Jan is an open source alternative to ChatGPT that runs 100% offline on your computer. Multiple engine support (llama.cpp, TensorRT-LLM)",,,,,,,,,,,,Operations,Model Serving,,,,,,,,,,,,,,,,,,,,,,,,
jmorganca/ollama,,https://github.com/jmorganca/ollama,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,"Get up and running with Llama 3.2, Mistral, Gemma 2, and other large language models.",,,,,,,,,,,,Operations,Model Serving,,,,,,,,,,,,,,,,,,,,,,,,
jncraton/languagemodels,,https://github.com/jncraton/languagemodels,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,Explore large language models in 512MB of RAM,,,,,,,,,,,,Operations,Model Serving,,,,,,,,,,,,,,,,,,,,,,,,
kantord/SeaGOAT,,https://github.com/kantord/SeaGOAT,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,local-first semantic code search engine,,,,,,,,,,,,Application Engineering,Agentic Framework,,,,,,,,,,,,,,,,,,,,,,,,
KillianLucas/open-interpreter,,https://github.com/KillianLucas/open-interpreter,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,A natural language interface for computers,,,,,,,,,,,,Application Engineering,Agentic Framework,,,,,,,,,,,,,,,,,,,,,,,,
KnowledgeCanvas/knowledge,,https://github.com/KnowledgeCanvas/knowledge,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,"Knowledge is a tool for saving, searching, accessing, exploring and chatting with all of your favorite websites, documents and files.",,,,,,,,,,,,Application Engineering,Agentic Framework,,,,,,,,,,,,,,,,,,,,,,,,
kuafuai/DevOpsGPT,,https://github.com/kuafuai/DevOpsGPT,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,Multi agent system for AI-driven software development. Combine LLM with DevOps tools to convert natural language requirements into working software. Supports any development language and extends the existing code.,,,,,,,,,,,,Application Engineering,Agentic Framework,,,,,,,,,,,,,,,,,,,,,,,,
kuleshov/minillm,,https://github.com/kuleshov/minillm,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,MiniLLM is a minimal system for running modern LLMs on consumer-grade GPUs,,,,,,,,,,,,Operations,Model Serving,,,,,,,,,,,,,,,,,,,,,,,,
labmlai/labml,,https://github.com/labmlai/labml,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,🔎 Monitor deep learning model training and hardware usage from your mobile phone 📱,,,,,,,,,,,,Operations,Monitoring,,,,,,,,,,,,,,,,,,,,,,,,
langfuse/langfuse,,https://github.com/langfuse/langfuse,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,"🪢 Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playground, datasets. Integrates with LlamaIndex, Langchain, OpenAI SDK, LiteLLM, and more. 🍊YC W23 ",,,,,,,,,,,,Operations,Monitoring,,,,,,,,,,,,,,,,,,,,,,,,
lencx/ChatGPT,,https://github.com/lencx/ChatGPT,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",,,,,,,,,,,,Application Engineering,UserInterface,,,,,,,,,,,,,,,,,,,,,,,,
life4/textdistance,,https://github.com/life4/textdistance,logos/05a2ac8973b778f9ba4bfe0ed7994c6627dce9861036e203644b27de161796ad.svg,,,,,,,,,"📐 Compute distance between sequences. 30+ algorithms, pure python implementation, common interface, optional external libs usage.",,,,,,,,,,,,Application Engineering,Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
lucidrains/denoising-diffusion-pytorch,,https://github.com/lucidrains/denoising-diffusion-pytorch,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,Implementation of Denoising Diffusion Probabilistic Model in Pytorch,,,,,,,,,,,,Models,Foundation model,,,,,,,,,,,,,,,,,,,,,,,,
madawei2699/myGPTReader,,https://github.com/madawei2699/myGPTReader,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,A community-driven way to read and chat with AI bots - powered by chatGPT.,,,,,,,,,,,,Application Engineering,UserInterface,,,,,,,,,,,,,,,,,,,,,,,,
microsoft/JARVIS,,https://github.com/microsoft/JARVIS,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf",,,,,,,,,,,,Application Engineering,Agentic Framework,,,,,,,,,,,,,,,,,,,,,,,,
microsoft/prompt-engine,,https://github.com/microsoft/prompt-engine,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,A library for helping developers craft prompts for Large Language Models,,,,,,,,,,,,Application Engineering,Prompt Engineering,,,,,,,,,,,,,,,,,,,,,,,,
mit-han-lab/llm-awq,,https://github.com/mit-han-lab/llm-awq,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,[MLSys 2024 Best Paper Award] AWQ: Activation-aware Weight Quantization for LLM Compression and Acceleration,,,,,,,,,,,,Operations,Model Serving,,,,,,,,,,,,,,,,,,,,,,,,
mit-han-lab/smoothquant,,https://github.com/mit-han-lab/smoothquant,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,[ICML 2023] SmoothQuant: Accurate and Efficient Post-Training Quantization for Large Language Models,,,,,,,,,,,,Operations,Model Serving,,,,,,,,,,,,,,,,,,,,,,,,
ml-explore/mlx,,https://github.com/ml-explore/mlx,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,MLX: An array framework for Apple silicon,,,,,,,,,,,,Application Engineering,Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
n4ze3m/page-assist,,https://github.com/n4ze3m/page-assist,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,Use your locally running AI models to assist you in your web browsing,,,,,,,,,,,,Application Engineering,Agentic Framework,,,,,,,,,,,,,,,,,,,,,,,,
nashsu/FreeAskInternet,,https://github.com/nashsu/FreeAskInternet,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,"FreeAskInternet is a completely free, PRIVATE and LOCALLY running search aggregator & answer generate using MULTI LLMs, without GPU needed. The user can ask a question and the system will  make a multi engine search and combine the search result to LLM and generate the answer based on search results. It's all FREE to use. ",,,,,,,,,,,,Application Engineering,Agentic Framework,,,,,,,,,,,,,,,,,,,,,,,,
nebuly-ai/nebuly,,https://github.com/nebuly-ai/nebuly,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,A collection of libraries to optimise AI model performances,,,,,,,,,,,,Operations,Monitoring,,,,,,,,,,,,,,,,,,,,,,,,
